V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,marketing,engineer,department,e1,e2,e3,e4,e5,e6,e7,e8,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,consent,marketing,engineer,department,EMINT-Customer service takes a short-term view and engineering a long-term view.,EMINT-It is difficult for engineers to communicate effectively with customer service staff.,EMINT-Engineers and customer service staff cannot trust each other.,EMINT-Engineers and customer service staff have different values.,EMINT-Engineers and customer service staff do not understand each other.,EMINT-Friction between engineers and customer service staff is healthy.,EMINT-All engineers should know something about customer service.,EMINT-Engineers are more important to a water utility than customer service staff.,PROOR-Customers that cannot pay their bill have the wrong financial priorities.,PROOR-Financial management is more important than the needs of individual customers that cannot afford water bills.,PROOR-Customers who are not able to pay their bill do not need our help.,PROOR-Customers who do not pay their bills on time should not receive service.,"PROOR-The more detailed our rules and regulations are, the better the level of service we will provide.","PROOR-When we provide service in accordance with rules and regulations, customers will always be satisfied.",PROOR-Decisions must be based on rules and regulations instead of individual customer needs.,PROOR-Without detailed rules and regulations we are not able to provide satisfactory service to customers.,"PROOR-The more we invest in infrastructure maintenance and development, the more satisfied our customers will be.","PROOR-Providing services is predominately a technological activity, not a customer support activity.",PROOR-Customers do not have the knowledge to independently assess the level of service we provide.,PROOR-Providing services in accordance with technical standards and regulations is sufficient to meet customer needs.,MKTOR-Our business objectives are primarily driven by providing customer satisfaction.,MKTOR-We constantly monitor our level of commitment and orientation to serving customer's needs.,MKTOR-Our strategy is based on our understanding of customer needs.,MKTOR-Our business strategies are driven by our beliefs about how we can provide greater value for customers.,MKTOR-We measure customer satisfaction systematically and frequently.,MKTOR-Our top managers from every function regularly meet with our customers.,MKTOR-We freely communicate information about our successful and unsuccessful customer experiences across all business functions.,MKTOR-All of our functions are integrated in serving the needs of our customers.,MKTOR-Everybody understands how everyone in our business can contribute to creating customer value.,MKTOR-We share resources with other business units.
R_1inyNPQjn5iVTMd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:42,2015-05-08 09:08:59,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2zMkiVsQsaS8ZdY,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:11,2015-05-08 09:10:47,1,1,0,0,2,3,3,2,3,3,3,6,1,1,3,2,2,3,3,2,5,6,3,3,4,5,5,5,5,4,3,5,5,3,3
R_OvqyFdQmwcQyXnj,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:31,2015-05-08 09:11:51,1,1,0,0,1,7,2,2,3,2,5,6,1,1,1,1,1,1,4,2,2,5,1,5,3,7,7,7,7,7,1,1,1,4,1
R_3KTUTv8Ay6gIOVv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:00,2015-05-08 09:12:21,1,1,0,1,3,2,2,1,2,2,1,6,1,1,1,1,2,2,2,2,5,6,2,3,3,7,7,6,6,7,5,5,5,5,6
R_26kwySMy1MARS3e,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:44,2015-05-08 09:12:38,1,1,0,1,3,6,3,1,5,4,6,6,2,3,2,1,1,3,2,5,6,2,2,4,3,6,6,5,6,5,2,4,5,6,6
R_28MqfIdnSS65cTz,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:56,2015-05-08 09:13:02,1,1,0,1,3,6,6,4,3,5,1,7,1,1,2,1,1,2,2,3,5,3,2,2,1,7,7,7,7,7,6,6,7,5,7
R_8itNz5Cb7fXrdwl,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:10:15,2015-05-08 09:14:09,1,1,1,0,2,5,4,2,4,5,5,5,4,4,3,1,2,6,4,1,5,4,1,3,7,7,7,7,7,7,6,6,7,7,7
R_3LhWBaGXpb0K9g8,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:40,2015-05-08 09:14:15,1,1,0,0,1,5,3,2,2,2,2,3,5,2,2,1,1,3,3,2,2,5,4,3,2,5,6,6,6,7,4,5,6,6,6
R_2awOliok8fBmSep,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:19,2015-05-08 09:14:46,1,1,1,1,3,1,1,1,1,3,1,7,5,1,6,1,1,1,3,3,4,5,2,2,5,7,6,6,7,7,4,5,4,6,5
R_3G0S1jwwot3mnGp,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:10:32,2015-05-08 09:15:02,1,1,0,0,1,5,6,2,5,5,2,6,4,2,2,1,2,5,3,3,5,5,2,4,4,6,6,6,6,6,3,4,5,6,6
R_30dZn7XsqKUmvZG,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:52,2015-05-08 09:15:18,1,1,1,0,3,5,6,1,5,3,1,7,1,1,1,1,3,2,1,3,5,5,1,7,1,6,7,6,6,5,3,5,3,3,2
R_2R3L2wbC4TQFHQ4,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:54,2015-05-08 09:15:58,1,1,0,0,2,2,6,1,6,5,1,7,1,3,3,1,3,6,1,6,6,7,2,7,2,6,6,6,6,4,2,2,6,3,3
R_3G6pH2pxCtxx0nr,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:22,2015-05-08 09:15:59,1,1,0,1,3,3,3,1,2,2,2,5,2,2,3,2,2,3,2,2,3,5,2,4,3,6,6,6,6,6,5,5,6,6,6
R_XXIXh6M8xesTpq9,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:10:27,2015-05-08 09:16:03,1,1,0,1,2,5,7,7,7,7,1,7,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,4,2,1,3,1,4,4
R_ul7GYCTAczGAiVb,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:13:01,2015-05-08 09:16:27,1,1,0,1,1,2,5,2,4,4,2,6,1,3,6,2,1,6,3,4,6,6,2,2,2,6,6,6,6,6,4,4,5,3,4
R_2xy3lBKfbYzReMu,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:07,2015-05-08 09:16:59,1,1,0,0,1,1,2,1,5,2,1,7,1,2,1,1,1,2,2,1,1,2,1,1,1,7,7,6,7,7,3,3,6,7,6
R_1Q3qknxexGWXwrG,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:13:04,2015-05-08 09:17:00,1,1,0,0,3,1,5,2,7,5,2,7,1,1,2,1,2,3,2,3,2,3,1,3,2,4,6,6,6,6,4,2,2,1,1
R_3Ppr9ZdTpSSN9sw,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:11:31,2015-05-08 09:17:05,1,1,0,1,1,2,2,2,3,3,5,7,2,2,2,1,1,5,2,2,6,6,2,2,2,7,7,7,7,6,3,4,6,5,5
R_5C6OYmyQFJUz8l3,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:12:07,2015-05-08 09:18:38,1,1,0,1,3,2,3,1,6,5,3,6,6,1,1,1,1,2,3,5,4,2,2,6,2,6,7,7,7,6,4,5,6,5,6
R_1BVMtqSoVewsVe4,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:12:25,2015-05-08 09:19:04,1,1,0,0,1,5,3,2,4,4,5,6,4,5,4,2,5,4,3,4,5,5,4,3,3,5,6,6,6,6,4,4,4,5,4
R_2rTTJ5SlI8LH25H,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:11:17,2015-05-08 09:20:22,1,1,0,0,1,5,6,2,6,3,2,6,1,2,1,2,1,6,6,1,6,7,3,2,7,7,7,7,7,7,5,3,6,5,6
R_3sA3DaPEPvU9AJR,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:45,2015-05-08 09:20:27,1,1,0,1,1,6,5,3,6,3,1,7,5,1,1,1,1,1,3,5,5,2,1,1,2,6,7,7,7,7,2,2,4,6,6
R_2Wu8VCih4smm66A,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:09:58,2015-05-08 09:22:22,1,1,0,0,2,4,6,5,5,6,3,7,2,2,2,2,2,3,5,3,4,4,2,5,5,6,6,6,6,6,2,6,4,5,5
R_2CCIkKwzNdizMp6,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:19:25,2015-05-08 09:22:33,1,1,0,1,3,6,5,3,3,5,2,6,6,5,2,2,6,4,3,4,6,6,6,5,2,4,4,6,5,6,3,5,5,5,3
R_2X0d20SwTkBsQ3t,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:51,2015-05-08 09:23:26,1,1,0,1,3,5,4,2,5,2,4,7,2,1,2,1,1,5,2,4,4,6,2,4,3,5,6,5,5,5,4,4,4,4,3
R_1FxGNFzvf1QMDYG,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:17:15,2015-05-08 09:25:09,1,1,0,1,3,5,3,1,1,2,1,7,1,1,2,1,1,1,1,5,1,5,2,3,2,6,6,6,6,6,1,5,5,6,6
R_Rs3cC2hS9AwWOzf,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:18:56,2015-05-08 09:25:11,1,1,1,0,1,4,4,4,6,5,4,6,5,4,3,3,2,5,2,6,4,6,4,4,4,6,6,6,6,6,4,4,4,4,4
R_1eXAhJXDxbNFl0t,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:15:49,2015-05-08 09:27:47,1,1,0,1,3,6,2,2,6,2,2,6,4,4,3,3,5,6,1,5,2,6,5,2,4,3,6,6,6,6,4,2,5,5,6
R_2UVGAOXmUcBdUfY,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:22:57,2015-05-08 09:28:08,1,1,0,1,3,5,5,2,2,4,1,6,2,2,2,2,2,3,4,2,3,6,2,4,3,6,6,6,7,6,4,5,5,5,6
R_6Ebjq8JpWGNIuKR,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:22:17,2015-05-08 09:30:57,1,1,0,0,3,5,2,1,5,2,2,6,4,1,1,1,1,3,2,4,5,6,2,4,2,7,7,7,7,7,3,3,5,6,5
R_2XcAeYj3OsbVHiW,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:25:09,2015-05-08 09:31:12,1,1,0,0,1,2,2,1,2,1,2,5,1,2,2,1,1,5,2,3,5,5,2,5,3,6,6,6,6,6,4,4,5,6,7
R_31oLDyGp0BzX0Xn,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:18:49,2015-05-08 09:32:31,1,1,0,0,3,5,4,3,6,6,4,6,4,2,4,2,3,4,2,2,3,2,3,5,4,4,7,7,7,7,4,2,4,2,5
R_29uyO4b5HsfsRf9,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:26:01,2015-05-08 09:32:44,1,1,1,1,3,4,2,2,2,2,2,6,4,4,5,2,2,5,5,3,5,5,5,4,3,5,6,6,7,7,4,6,5,5,5
R_1dxZw6T81BN0RTT,Default Response Set,Anonymous,NA,NA,1.136.96.172,0,2015-05-08 09:22:23,2015-05-08 09:33:21,1,1,0,1,3,3,5,3,5,4,2,7,2,1,1,2,1,3,2,3,4,3,3,5,1,3,6,6,5,6,3,5,6,6,6
R_3Pk4pszBgR5eRBf,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:26:18,2015-05-08 09:33:27,1,1,0,1,3,2,4,4,6,3,2,6,1,1,1,1,1,2,1,1,3,7,1,1,1,2,3,5,5,6,2,1,2,2,1
R_1OhLn07iBbcsykx,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:13:34,2015-05-08 09:34:13,1,1,1,0,1,2,3,2,5,5,2,5,4,2,2,1,1,5,3,3,6,5,3,1,2,7,7,7,7,7,5,6,6,7,6
R_2dj1FsFkkobyyFV,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:30:16,2015-05-08 09:35:07,1,1,0,0,3,5,5,2,5,5,3,6,6,1,3,2,1,4,6,4,5,6,5,5,4,5,5,5,6,6,4,6,6,5,4
R_24elMjzmZnO9NtI,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:31:08,2015-05-08 09:35:18,1,1,1,0,2,4,5,2,2,2,2,5,2,2,4,2,3,4,2,2,5,5,3,5,3,3,6,4,5,5,3,3,3,5,6
R_1mxzWo3hNjmUCvJ,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:19:39,2015-05-08 09:35:29,1,1,1,0,3,7,6,2,6,6,2,6,6,6,6,2,2,6,2,2,6,7,6,2,2,7,7,7,7,7,7,6,7,6,6
R_3kMnkFmoEtKLUZa,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:19:50,2015-05-08 09:35:31,1,1,0,0,2,2,3,1,1,2,2,7,1,2,2,2,1,4,4,2,6,6,1,3,2,6,6,6,6,5,4,6,6,6,5
R_DkSW7WeqIDgywMh,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:01,2015-05-08 09:36:28,1,1,0,0,2,3,2,1,2,1,6,7,5,2,1,1,1,4,2,1,2,6,2,5,2,7,7,7,7,7,7,7,6,7,7
R_Abzc0x5gB3pOO2t,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:31:34,2015-05-08 09:37:54,1,1,0,1,3,2,2,1,1,1,1,7,4,1,1,1,1,2,1,1,3,4,2,1,2,6,7,7,7,7,4,3,6,6,6
R_sb9uXge5SP3rpbX,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:30:46,2015-05-08 09:37:58,1,1,1,1,3,2,2,1,2,2,4,7,1,1,3,1,2,3,6,4,5,5,2,4,2,5,6,5,6,7,2,3,3,5,6
R_1FLmyL5jSz4j9iA,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:31:34,2015-05-08 09:38:02,1,1,0,0,1,1,2,1,1,2,1,7,1,2,1,1,1,1,1,3,5,5,1,1,3,7,7,7,7,7,3,5,7,7,7
R_1kFGXii5KX7vpnM,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:33:38,2015-05-08 09:38:42,1,1,0,1,3,5,2,2,6,2,5,5,2,2,2,2,2,6,3,5,6,2,2,5,6,6,6,6,6,6,4,6,5,5,3
R_3EJZX0pgD15gWJp,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:28,2015-05-08 09:39:07,1,1,1,0,2,6,5,2,7,5,3,5,2,2,3,2,1,5,4,4,6,6,5,5,6,6,5,5,6,6,4,6,5,6,6
R_1jPSU0V2281oQ1T,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:34:53,2015-05-08 09:39:29,1,1,1,0,2,6,5,3,5,6,3,6,1,2,2,1,1,6,2,2,3,6,1,2,3,6,7,7,7,7,6,6,5,6,7
R_uqtYlG0jqoPRrlT,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:23:44,2015-05-08 09:40:28,1,1,0,0,2,4,4,4,4,4,4,7,1,3,3,1,1,4,4,1,4,4,1,4,3,6,6,6,6,6,6,6,6,6,7
R_1OuHYAPgaCEHf1T,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:31:35,2015-05-08 09:41:13,1,1,0,0,2,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,1,3,2,1,2,2,7,6,7,7,7,6,6,7,7
R_Rslvq57ReAAZ8OJ,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:35:32,2015-05-08 09:41:36,1,1,0,0,2,4,5,3,5,4,1,7,1,1,1,1,1,1,1,1,1,1,1,2,1,6,6,6,6,6,6,6,6,6,6
R_tWlwyVwBq7RlFsd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:25:06,2015-05-08 09:42:28,1,1,0,0,2,5,6,2,6,2,2,2,1,1,1,1,2,2,2,1,5,2,2,6,1,6,6,7,6,6,4,7,6,5,3
