V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,marketing,engineer,department,e1,e2,e3,e4,e5,e6,e7,e8,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
R_1DHnQwCZaQGirQe,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:38:46,2015-05-08 09:44:00,1,1,1,0,2,2,1,1,2,2,1,7,1,1,1,1,1,6,2,2,5,3,2,1,5,5,6,6,6,5,2,2,1,1,2
R_1LtBL2p1NmNowyh,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:38:01,2015-05-08 09:45:38,1,1,0,0,3,6,5,3,6,3,5,6,3,1,3,3,3,2,2,5,5,6,4,6,5,3,6,5,5,7,4,4,5,3,6
R_2xPFth3RvtmYLs6,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:39:48,2015-05-08 09:45:45,1,1,0,0,2,1,2,3,6,3,2,6,4,2,2,1,3,2,2,1,2,3,1,2,1,6,6,6,6,6,2,5,5,4,5
R_1CxsKXuHjQrX3oB,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:11:31,2015-05-08 09:48:57,1,1,0,0,1,2,7,7,7,7,5,7,1,1,1,1,1,3,2,2,2,6,1,5,2,6,7,7,7,7,2,1,3,2,6
R_1eQzPGFdGMHVFy3,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:12:38,2015-05-08 09:50:46,1,1,1,0,2,5,6,5,7,6,6,7,2,1,2,1,1,1,2,1,2,5,1,2,2,6,6,6,6,6,5,3,3,5,6
R_1plLjxq42dTOAeD,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:43:47,2015-05-08 09:53:11,1,1,0,0,2,4,4,4,4,4,4,4,4,1,1,1,1,6,6,3,6,7,4,2,3,6,6,7,7,7,4,4,5,5,7
R_1d4EIKihleI7lA5,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:52:16,2015-05-08 09:55:56,1,1,1,0,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,5,1,4,7,6,7,5,1,1,7,2,3
R_1EdoHAf2fPFDCmv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:48:41,2015-05-08 09:56:01,1,1,0,1,3,4,2,1,4,5,2,6,2,4,4,4,2,5,2,5,2,6,3,4,3,6,6,6,6,6,2,3,4,6,3
R_3HTgpmypffnhvtG,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:51:16,2015-05-08 09:57:11,1,1,0,0,1,2,2,2,2,3,2,7,2,2,4,1,3,3,3,3,5,6,1,5,5,5,6,6,5,6,3,3,5,5,5
R_3fPsOxlNIKnko64,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:52:04,2015-05-08 09:57:17,1,1,0,0,3,2,1,1,1,1,1,7,1,1,1,1,2,1,2,1,2,1,1,1,2,7,7,7,7,7,2,5,6,7,7
R_3nCKuYqhkRztHxP,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:57:48,2015-05-08 10:01:47,1,1,0,0,3,4,4,4,4,4,4,4,4,2,2,2,2,4,3,2,6,6,2,2,2,6,6,6,6,5,4,4,3,4,4
R_1EZQ0yXXjfn6sjN,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:00:01,2015-05-08 10:04:24,1,1,0,0,2,2,2,1,4,3,1,6,2,2,2,2,2,6,2,2,6,5,4,2,2,7,6,6,6,6,5,6,6,5,6
R_XvuPoTa6pJBgElr,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:00:17,2015-05-08 10:04:59,1,1,0,0,2,5,2,2,3,5,3,5,1,2,2,1,1,3,2,2,3,3,2,5,2,5,5,5,6,5,2,3,3,5,5
R_3Mif382O8k95erN,Default Response Set,Anonymous,NA,NA,110.22.61.14,0,2015-05-08 10:06:35,2015-05-08 10:11:31,1,1,1,0,1,2,2,1,2,2,1,7,2,1,1,1,1,2,2,2,5,6,1,5,1,7,7,7,7,7,2,3,6,6,6
R_3CJ9e25jf9637Te,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:08:03,2015-05-08 10:12:07,1,1,0,0,1,2,4,2,2,3,1,6,1,2,2,2,3,6,3,3,3,5,2,7,1,7,7,7,7,7,4,6,7,6,5
R_2dJRYSDqtW5fLZT,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:03:18,2015-05-08 10:13:12,1,1,0,0,2,5,3,2,5,5,2,6,5,4,2,1,2,3,2,5,6,6,3,5,2,7,7,7,7,6,5,6,3,6,6
R_urmKWUPtuSfk8LL,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:08:35,2015-05-08 10:16:10,1,1,0,1,3,2,2,2,3,2,2,1,1,1,1,1,1,2,1,2,2,2,1,6,1,7,6,6,6,7,2,3,7,7,7
R_1g59Rgkf9m2J1r9,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:07:02,2015-05-08 10:17:00,1,1,0,0,3,5,2,1,2,1,3,7,2,2,3,1,2,4,3,3,5,3,2,2,3,5,6,6,5,6,6,6,5,5,6
R_114mNLH8cNtla72,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:10:43,2015-05-08 10:19:17,1,1,0,0,3,6,6,4,4,5,4,6,4,4,2,2,2,4,2,2,6,6,5,6,4,4,5,4,5,5,4,4,4,5,5
R_1Gxdnt28J89PZcG,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:07:09,2015-05-08 10:20:58,1,1,0,0,1,1,1,1,1,1,1,7,1,1,1,1,1,2,2,1,1,7,1,1,2,7,7,7,7,7,2,3,6,6,6
R_27rFSYXDtb8vSpu,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:41:14,2015-05-08 10:28:45,1,1,0,0,2,5,3,1,2,2,1,7,1,2,1,1,3,3,6,3,4,6,2,5,3,6,7,7,7,7,5,7,6,6,7
R_1nOQ6RQ4bVVN2wp,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:24:22,2015-05-08 10:30:37,1,1,0,1,3,2,3,1,5,2,1,7,2,1,2,1,2,5,3,3,3,2,2,2,3,5,6,6,5,6,5,3,5,6,6
R_3strvF99XyfuOEp,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:28:25,2015-05-08 10:34:10,1,1,0,1,3,2,2,2,5,2,2,7,2,2,1,1,5,5,2,2,6,2,2,6,2,7,6,6,6,6,2,3,6,6,6
R_1pWkxm1f1SfORAN,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:31:10,2015-05-08 10:36:45,1,1,0,0,2,4,5,4,6,5,5,6,2,2,2,2,2,6,4,4,5,5,2,4,5,5,5,5,5,5,2,5,5,5,5
R_tJTl4S2SAIn7BRv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:42:41,2015-05-08 10:46:48,1,1,0,0,1,5,3,3,6,3,2,6,2,1,1,1,1,1,1,1,1,5,2,2,1,7,7,7,7,7,4,2,6,5,5
R_3O0aV0MZHtC4wPp,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:38:38,2015-05-08 10:53:50,1,1,0,1,3,5,6,1,2,6,2,6,6,2,5,2,2,2,1,1,7,2,2,7,1,6,6,7,7,6,5,5,5,6,6
R_w6puoyrPcIm5tYd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:52:37,2015-05-08 10:55:24,1,1,0,0,2,3,4,4,5,3,3,6,1,3,1,1,1,7,6,3,7,7,3,4,3,4,4,4,4,5,5,5,6,6,6
R_1DG6MxtsXu5guaD,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:02:28,2015-05-08 10:57:20,1,1,0,0,2,1,1,1,1,1,2,7,1,1,1,1,1,2,1,1,5,4,1,4,1,7,7,7,7,7,4,7,4,5,6
R_2cwIPN9Y5XJqGmg,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:00:26,2015-05-08 11:07:17,1,1,0,1,3,7,2,2,2,2,4,7,5,2,5,2,2,3,2,3,4,5,4,2,3,6,5,6,6,7,4,5,5,4,6
R_2YyofGCicHD5s27,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:02:24,2015-05-08 11:08:57,1,1,0,1,3,7,5,4,7,3,4,7,2,2,1,1,2,4,2,5,7,6,2,5,7,7,7,5,6,6,4,6,4,4,7
R_2SB6YpeP5PMmCgL,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 10:51:30,2015-05-08 11:17:17,1,1,0,1,3,7,2,2,3,5,3,5,2,2,3,2,2,3,3,7,4,6,4,4,5,6,6,7,6,6,2,5,2,6,6
R_1gH2LUlcmpvz3uG,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:13:16,2015-05-08 11:18:15,1,1,1,0,2,4,2,2,3,2,2,6,2,2,3,2,2,1,1,1,2,2,2,2,2,6,6,6,6,6,4,6,3,6,6
R_T58M51DmGdpQi0F,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:15:26,2015-05-08 11:22:34,1,1,0,0,3,5,2,3,3,4,6,6,1,2,3,2,2,5,6,4,5,6,3,5,4,6,6,6,6,5,5,5,5,6,6
R_21u0foM2TYTzsfN,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:23:09,2015-05-08 11:29:16,1,1,0,0,3,5,5,5,6,5,2,6,4,3,2,1,2,4,4,3,5,6,2,1,5,6,6,6,6,7,5,6,5,6,6
R_3Gq8n4pIHQVW2Xu,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:31:57,2015-05-08 11:35:44,1,1,0,0,2,1,5,1,2,4,2,6,4,2,2,2,3,2,3,5,2,6,1,3,5,6,6,6,6,6,5,6,6,6,6
R_3rGU5h3JR7nZJft,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:30:56,2015-05-08 11:36:15,1,1,0,1,3,5,2,2,5,2,1,6,4,2,3,2,1,2,4,3,5,6,3,5,2,7,7,7,7,7,3,3,6,4,2
R_sAnHucHdvTTRobf,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:29:59,2015-05-08 11:37:23,1,1,0,0,3,5,3,1,6,3,3,6,4,4,2,2,2,3,5,2,5,5,3,2,4,6,6,6,6,6,6,6,6,6,6
R_1oGeMSsW5nVZLfH,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:28:54,2015-05-08 11:38:16,1,1,1,0,3,6,6,4,5,6,3,7,2,2,2,1,2,2,5,3,5,6,3,6,3,6,7,6,5,6,5,6,5,7,3
R_R2gyhkhUSPO6HXX,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:23:44,2015-05-08 11:38:22,1,1,0,0,3,6,4,1,3,3,1,6,1,4,4,1,2,3,5,5,3,1,4,2,5,6,6,6,6,6,5,5,6,6,6
R_3HUKA7OHgXQxQ4D,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:33:51,2015-05-08 11:39:20,1,1,0,0,2,2,5,2,5,2,2,7,1,2,3,2,2,2,2,3,2,3,2,2,2,6,6,6,6,6,2,2,2,2,2
R_2QKfCI6KlTsMRrn,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:37:27,2015-05-08 11:41:42,1,1,0,1,3,2,2,1,5,3,2,6,2,4,2,2,1,2,2,2,6,6,2,3,3,5,7,6,6,6,4,6,6,6,6
R_3MihQS7TFS2c50N,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:12:16,2015-05-08 11:42:25,1,1,1,0,2,2,5,4,6,5,2,5,2,1,1,1,2,2,1,2,5,3,2,5,1,5,5,6,5,6,2,2,2,2,3
R_9tnHNJIkKjfSsqB,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:32:07,2015-05-08 11:43:11,1,1,0,0,1,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1jE59eKrJ5plv59,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:14:24,2015-05-08 11:48:33,1,1,0,1,3,2,5,2,5,5,1,7,2,2,2,2,1,5,2,2,1,2,2,2,2,5,7,6,6,5,5,5,5,5,2
R_2sT5MQnBFbMQG20,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:57:52,2015-05-08 12:01:53,1,1,0,1,1,5,5,1,2,2,2,6,1,1,1,1,1,5,7,7,6,5,2,2,2,6,6,7,6,6,5,5,5,5,6
R_2wGGkZDYUF6Auso,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:00:01,2015-05-08 12:03:48,1,1,1,0,1,2,2,1,1,1,2,6,2,2,2,1,1,5,6,3,5,6,2,2,2,7,6,6,6,6,6,5,6,7,6
R_3oYpzcveIHbBJPx,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:01:35,2015-05-08 12:07:37,1,1,0,0,1,3,3,1,1,3,1,6,1,1,1,1,1,3,3,3,5,3,1,4,2,7,7,7,7,7,6,4,6,6,6
R_3rHAPsgWuW2MkY2,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 11:48:18,2015-05-08 12:09:47,1,1,0,0,2,1,6,4,7,5,1,7,1,1,1,1,1,7,1,3,4,5,1,6,1,6,7,7,6,7,5,5,5,2,7
R_3IQNAWlvCvIML9K,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:33:31,2015-05-08 12:38:17,1,1,1,0,3,2,6,2,2,2,5,7,1,2,2,1,1,1,1,2,2,1,1,2,3,3,5,5,5,6,2,3,2,3,4
R_3qkCHCFaTbCnS2c,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:38:48,2015-05-08 12:42:46,1,1,0,0,2,3,6,2,3,5,1,7,2,1,1,1,1,2,1,1,1,5,1,1,1,7,7,7,7,7,4,3,5,5,2
R_3DqBfCRreC049Tk,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 12:50:20,2015-05-08 12:54:26,1,1,0,0,3,3,6,3,5,7,2,7,1,2,3,2,2,2,2,3,5,5,2,4,3,3,6,5,7,6,3,2,2,3,6
R_1iqWKRPLssup7WU,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:11:38,2015-05-08 13:27:06,1,1,0,0,1,6,4,2,2,2,3,6,4,1,3,1,3,6,6,3,6,6,4,5,5,6,6,6,6,5,5,3,5,5,6
R_1IKHWuvFMw6GOqm,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:47:28,2015-05-08 13:52:37,1,1,0,0,3,3,3,3,3,6,6,6,7,2,3,1,2,2,1,2,4,2,2,2,2,5,5,5,3,5,2,2,5,5,1
R_2a6xgYTU1DZ8tfX,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:51:10,2015-05-08 13:55:07,1,1,0,1,3,3,5,2,5,5,1,7,3,1,3,1,2,3,1,5,3,4,4,5,3,4,6,6,6,6,4,5,5,5,6
R_2rUYr2CEgClQEMe,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:40:50,2015-05-08 13:55:31,1,1,0,0,3,4,4,1,5,5,4,7,4,4,2,1,4,5,5,7,5,7,2,4,6,7,7,7,7,7,3,7,7,7,5
R_W2SwLAAn5214u5z,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 13:36:10,2015-05-08 13:57:48,1,1,0,0,1,3,2,1,3,3,2,6,3,1,4,2,2,4,4,3,6,5,3,3,4,6,5,6,6,6,3,5,6,6,5
R_2qw39xfRMC2ZexO,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:14:54,2015-05-08 14:20:32,1,1,0,1,3,2,5,1,1,2,2,7,1,2,1,1,3,2,2,2,6,7,2,1,2,2,7,5,7,7,2,2,3,6,7
R_1PaSbWyASWoZdpc,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:17:53,2015-05-08 14:20:36,1,1,1,1,1,1,6,4,6,6,4,7,2,1,4,1,1,1,1,4,4,2,4,2,3,6,6,6,6,6,4,5,5,4,5
R_2EdcYzO3wK8ikjV,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:08:10,2015-05-08 14:21:49,1,1,0,1,3,6,2,2,6,2,2,6,6,4,6,2,2,4,2,6,6,6,6,6,2,6,6,6,6,6,2,6,6,2,2
R_AI0rx0rNNXlJJKx,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 09:07:33,2015-05-08 14:27:32,1,1,0,0,2,2,5,2,3,2,4,6,2,1,2,1,1,6,5,3,5,5,2,5,5,6,7,6,7,7,4,6,6,6,5
R_svPzgnfH1LWdp7j,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:24:34,2015-05-08 14:29:28,1,1,0,1,3,5,2,2,5,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,5,5
R_1LBCU2bwaH5Txs1,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:30:46,2015-05-08 14:37:43,1,1,0,0,2,2,2,2,2,2,2,6,1,2,3,2,2,2,2,2,6,6,2,3,6,6,6,6,6,6,6,6,6,6,5
R_yqAMFl3KZZIz3gd,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 14:25:41,2015-05-08 15:07:18,1,1,0,0,2,2,3,2,5,3,2,6,2,1,2,1,2,1,1,2,5,5,1,2,1,5,3,5,6,6,2,3,5,7,5
R_1FKYYMmSCeLhCUE,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:07:49,2015-05-08 15:13:38,1,1,0,0,3,1,4,2,2,5,2,6,1,1,1,1,1,7,2,4,6,7,2,1,5,7,5,7,6,5,4,2,3,5,6
R_3QSmdqLwTSjqVLc,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:10:55,2015-05-08 15:16:45,1,1,1,1,3,5,3,2,4,3,3,6,2,3,3,1,2,2,2,3,4,2,3,2,2,4,5,6,6,6,1,3,2,1,3
R_2YbHfC5Jn5VJE5J,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:31:55,2015-05-08 15:33:54,1,1,0,0,2,4,4,4,4,4,4,4,4,3,5,5,4,3,4,4,5,7,2,4,6,4,6,2,5,3,1,2,3,4,5
R_ZgAltXaAWc6MWPv,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:37:53,2015-05-08 15:44:49,1,1,0,0,3,1,6,1,5,5,1,7,1,2,4,1,1,1,2,1,6,5,1,1,2,7,7,7,7,7,1,1,2,1,5
R_2cefnvMz8aznKA6,Default Response Set,Anonymous,NA,NA,203.192.89.233,0,2015-05-08 15:46:40,2015-05-08 15:54:13,1,1,0,0,2,4,5,3,5,5,4,6,2,2,2,3,2,2,2,2,3,4,2,4,2,6,7,7,7,7,4,6,7,6,5
