household,garden,ownership,involvement
Couple,Yes,Owner,33
Couple,No,Renter,9
Couple,Yes,Renter,25
Couple,Yes,Owner,28
Single,No,Owner,22
Family,Yes,Owner,35
Couple,No,Owner,18
Family,Yes,Owner,29
Couple,No,Owner,18
Family,Yes,Renter,19
Single,No,Renter,12
Couple,No,Owner,20
Family,Yes,Owner,34
Couple,Yes,Owner,26
Couple,Yes,Renter,18
Single,Yes,Renter,19
Family,Yes,Renter,30
Family,Yes,Owner,26
Single,No,Owner,13
Single,No,Renter,15
Single,No,Renter,9
Single,No,Renter,22
Family,Yes,Owner,22
Couple,Yes,Owner,25
Single,No,Renter,10
Single,No,Renter,9
Single,No,Renter,11
Couple,No,Owner,30
Single,No,Renter,11
Couple,No,Owner,18
Single,No,Owner,16
Family,Yes,Renter,20
Couple,No,Owner,15
Single,No,Renter,9
Single,No,Renter,11
Family,Yes,Owner,26
Couple,No,Owner,26
Family,Yes,Owner,27
Family,Yes,Renter,28
Family,Yes,Owner,35
Single,No,Renter,9
Single,No,Renter,16
Single,Yes,Renter,27
Single,No,Renter,9
Single,No,Renter,15
Single,No,Renter,9
Single,No,Renter,9
Single,No,Renter,17
Couple,Yes,Owner,30
Couple,No,Owner,11
Family,Yes,Owner,35
Single,No,Renter,11
Family,Yes,Owner,27
Couple,No,Owner,23
Single,No,Owner,32
Couple,Yes,Owner,33
Single,No,Renter,9
Couple,Yes,Renter,25
Single,No,Renter,13
Single,Yes,Renter,26
Single,No,Owner,24
Family,Yes,Renter,18
Family,No,Renter,9
Family,Yes,Owner,32
Single,No,Renter,9
Family,Yes,Owner,20
Family,Yes,Owner,35
Family,Yes,Owner,28
Couple,No,Owner,24
Single,No,Renter,16
Family,Yes,Owner,30
Family,Yes,Renter,18
Family,Yes,Owner,28
Family,Yes,Owner,32
Single,No,Owner,21
Couple,Yes,Owner,26
Family,Yes,Owner,28
Couple,No,Owner,26
Couple,Yes,Owner,33
Single,No,Renter,16
Couple,No,Owner,14
Single,No,Owner,14
Couple,No,Renter,12
Family,Yes,Owner,27
Single,Yes,Renter,14
Single,No,Renter,11
Couple,Yes,Renter,19
Family,Yes,Owner,35
Couple,No,Owner,12
Single,No,Renter,9
Single,No,Renter,9
Single,Yes,Renter,19
Couple,Yes,Owner,29
Single,No,Renter,13
Family,Yes,Owner,35
Family,No,Owner,17
Couple,Yes,Owner,28
Single,No,Renter,13
Single,No,Renter,13
Single,No,Renter,18
Family,Yes,Owner,20
Couple,No,Owner,17
Couple,Yes,Owner,26
Family,Yes,Renter,15
Couple,Yes,Owner,35
Single,No,Owner,28
Single,No,Renter,23
Couple,Yes,Owner,35
Single,No,Renter,12
Family,Yes,Renter,19
Couple,No,Owner,16
Couple,No,Owner,12
Couple,Yes,Owner,35
Family,Yes,Renter,22
Couple,Yes,Renter,23
Couple,Yes,Owner,28
Couple,No,Renter,9
Family,Yes,Renter,31
Couple,No,Owner,13
Single,No,Renter,13
Single,No,Renter,13
Single,No,Renter,16
Single,No,Renter,9
Couple,Yes,Owner,35
Couple,No,Owner,22
Family,Yes,Owner,29
Single,No,Renter,16
Family,Yes,Owner,27
Single,No,Renter,19
Single,No,Renter,9
Single,No,Renter,11
Family,Yes,Owner,27
Family,Yes,Renter,20
Couple,No,Owner,22
Couple,Yes,Owner,21
Single,No,Owner,16
Couple,Yes,Owner,35
Family,Yes,Renter,22
Single,No,Owner,30
Single,No,Renter,9
Single,No,Renter,9
Single,No,Renter,13
Single,No,Renter,15
Single,No,Renter,9
Single,No,Renter,19
Couple,No,Owner,23
Single,No,Renter,13
Single,No,Renter,13
Couple,No,Renter,16
Couple,Yes,Renter,17
Single,No,Renter,9
Family,Yes,Owner,34
Single,No,Owner,14
Single,No,Renter,13
Single,No,Renter,10
Couple,No,Owner,22
Single,No,Renter,12
Single,No,Renter,9
Couple,No,Owner,21
Single,No,Renter,9
Family,Yes,Owner,24
Single,No,Owner,28
Single,No,Renter,9
Family,Yes,Owner,29
Couple,No,Owner,25
Single,No,Renter,9
Family,Yes,Owner,30
Single,No,Renter,10
Couple,Yes,Owner,28
Couple,No,Owner,16
Single,No,Owner,17
Family,Yes,Renter,22
Couple,No,Owner,16
Couple,No,Owner,12
Single,No,Renter,11
Couple,No,Owner,18
Single,No,Renter,12
Couple,Yes,Owner,23
Family,Yes,Owner,29
Single,No,Renter,9
Couple,Yes,Owner,20
Family,Yes,Owner,35
Family,No,Owner,19
Single,No,Renter,13
Family,Yes,Owner,28
Single,No,Renter,9
Family,Yes,Owner,33
Family,Yes,Owner,31
Couple,Yes,Owner,23
Family,Yes,Owner,26
Family,Yes,Owner,27
Couple,Yes,Owner,27
Single,No,Renter,9
Single,No,Renter,13
Single,No,Renter,11
Single,No,Renter,9
Family,Yes,Renter,24
Family,Yes,Owner,34
Single,No,Renter,9
Single,No,Renter,9
Couple,Yes,Owner,32
Single,Yes,Owner,31
Couple,No,Owner,18
Single,No,Owner,27
Couple,Yes,Owner,30
Family,No,Owner,19
Family,Yes,Owner,28
Couple,No,Renter,9
Couple,No,Owner,17
Single,No,Renter,9
Single,Yes,Owner,26
Single,No,Renter,9
Single,No,Owner,11
Single,Yes,Renter,20
Family,No,Owner,14
Couple,Yes,Renter,24
Single,Yes,Renter,9
Single,No,Owner,16
Couple,Yes,Owner,27
Couple,Yes,Owner,29
Single,No,Renter,9
Single,No,Renter,11
Single,No,Renter,9
Family,Yes,Renter,32
Couple,Yes,Renter,17
Couple,No,Owner,22
Family,Yes,Owner,31
Family,Yes,Owner,35
Single,No,Owner,26
Single,No,Renter,9
Single,No,Renter,9
Couple,Yes,Renter,22
Family,Yes,Owner,35
Single,No,Owner,20
Single,No,Renter,10
Single,No,Renter,9
Single,Yes,Renter,24
Couple,No,Owner,31
Family,Yes,Owner,29
Family,Yes,Owner,31
Family,Yes,Owner,34
Family,Yes,Owner,27
Couple,No,Renter,9
Single,No,Renter,12
Family,Yes,Owner,35
Single,No,Renter,9
Single,Yes,Renter,26
Family,Yes,Owner,35
Family,Yes,Renter,18
Single,Yes,Renter,15
Couple,No,Owner,24
Couple,Yes,Owner,28
Single,No,Renter,9
Single,No,Owner,20
Single,No,Owner,18
Couple,Yes,Owner,30
Couple,Yes,Owner,34
Couple,No,Owner,22
Single,No,Renter,12
Couple,Yes,Owner,20
Single,No,Renter,17
Couple,No,Owner,17
Single,No,Renter,9
Couple,Yes,Owner,35
Single,No,Renter,9
Couple,Yes,Renter,24
Family,Yes,Owner,25
Single,No,Renter,12
Single,No,Renter,14
Single,No,Renter,15
Couple,No,Owner,17
Family,Yes,Renter,19
Couple,Yes,Owner,35
Single,No,Owner,17
Single,No,Renter,15
Family,Yes,Owner,35
Single,No,Renter,16
Single,No,Owner,23
Single,No,Renter,9
Single,No,Renter,9
Single,No,Owner,10
Single,No,Owner,23
Single,No,Renter,9
Single,No,Renter,15
Family,Yes,Owner,30
Family,Yes,Renter,14
Family,Yes,Renter,20
Single,No,Renter,17
Single,No,Owner,19
Single,No,Renter,9
Single,No,Renter,9
Family,Yes,Owner,27
Single,No,Renter,9
Single,Yes,Renter,28
Couple,No,Owner,20
Couple,Yes,Renter,18
Family,Yes,Renter,19
Single,No,Renter,10
Couple,No,Owner,25
Single,Yes,Renter,17
Single,No,Renter,9
Family,Yes,Owner,24
Single,No,Renter,9
Couple,No,Owner,15
Single,No,Renter,12
Couple,Yes,Owner,27
Couple,No,Owner,28
Couple,Yes,Owner,34
Couple,No,Owner,22
Single,No,Renter,11
Family,Yes,Owner,30
Couple,Yes,Renter,31
Single,No,Owner,18
Family,No,Owner,25
Single,No,Owner,21
Couple,No,Owner,19
Couple,Yes,Owner,31
Couple,Yes,Owner,32
Couple,No,Owner,18
Couple,Yes,Owner,30
Couple,No,Owner,26
Couple,No,Owner,23
Family,Yes,Owner,33
Single,No,Owner,25
Couple,Yes,Owner,33
Family,Yes,Owner,28
Single,No,Renter,10
Single,No,Renter,15
Single,No,Renter,9
Single,No,Renter,9
Family,Yes,Owner,27
Couple,Yes,Owner,27
Single,No,Renter,11
Family,Yes,Owner,25
Single,No,Renter,9
Single,No,Owner,21
Single,No,Renter,9
Single,No,Owner,11
Couple,Yes,Owner,30
Couple,Yes,Owner,33
Single,Yes,Owner,35
Family,Yes,Owner,22
Couple,Yes,Owner,24
Family,Yes,Renter,14
Family,Yes,Owner,34
Couple,Yes,Owner,26
Single,No,Owner,18
Single,No,Owner,17
Single,No,Renter,13
Couple,No,Owner,22
Single,No,Renter,13
Single,Yes,Renter,20
Single,No,Renter,20
Family,Yes,Renter,18
Couple,No,Owner,29
Family,Yes,Owner,35
Single,No,Renter,15
Family,Yes,Owner,33
Single,No,Renter,19
Family,Yes,Owner,23
Family,Yes,Owner,35
Single,No,Renter,11
Single,No,Renter,9
Couple,No,Owner,12
Couple,Yes,Renter,18
Single,Yes,Renter,17
Single,Yes,Renter,24
Single,No,Renter,18
Couple,Yes,Renter,23
Couple,Yes,Owner,22
Single,No,Renter,16
Couple,No,Owner,21
Family,Yes,Owner,24
Single,No,Owner,18
Single,No,Renter,13
Couple,Yes,Owner,33
Family,Yes,Owner,35
Single,No,Renter,17
Couple,Yes,Owner,27
Family,Yes,Owner,28
Single,No,Renter,9
Family,Yes,Owner,24
Family,Yes,Owner,30
Couple,Yes,Owner,17
Single,No,Renter,9
Single,No,Renter,9
Family,Yes,Owner,25
Couple,Yes,Owner,27
Family,Yes,Owner,35
Couple,No,Owner,17
Single,No,Renter,14
Single,No,Renter,18
Single,No,Renter,10
Couple,No,Owner,28
Single,Yes,Renter,26
Family,Yes,Owner,31
Single,No,Owner,20
Single,No,Renter,19
Couple,Yes,Owner,23
Family,Yes,Owner,25
